hsk_level,hanzi,pinyin,meaning
4,顺便,shùnbiàn,conveniently; in passing; on the way
4,顺利,shùnlì,go smoothly; without a hitch; successful
4,顺序,shùnxù,sequence; order
4,说明,shuōmíng,explain; explanation; illustrate
4,硕士,shuòshì,Master's degree (M.A.)
4,死,sǐ,to die; dead; fixed
4,速度,sùdù,speed; rate; velocity
4,塑料袋,sùliàodài,plastic bag
4,酸,suān,sour; sore; ache
4,随便,suíbiàn,as one pleases; informal; random
4,随着,suízhe,along with; in the wake of
4,孙子,sūnzi,grandson; son's son
4,所有,suǒyǒu,all; to have; to possess
4,台,tái,platform; Taiwan (abbr.); desk
4,抬,tái,to lift; to raise (with both palms up); carry (together)
4,态度,tàidu,manner; bearing; attitude
4,谈,tán,to talk; to chat; discuss
4,弹钢琴,tán gāngqín,play the piano
4,汤,tāng,soup; broth
4,糖,táng,sugar; candy; sweets
4,躺,tǎng,recline; lie down (on back or side)
4,趟,"tàng, tāng",(mw for trips times); to wade
4,讨论,tǎolùn,to discuss; discussion; to talk over
4,讨厌,tǎoyàn,to hate; loathe; disgusting
4,特点,tèdiǎn,a characteristic; trait; feature
4,提,tí,to carry; to lift; to raise (an issue)
4,提供,tígōng,to supply; provide; furnish
4,提前,tíqián,shift to an earlier date; bring forward; to advance
4,提醒,tíxǐng,remind; call attention to; warn of
4,填空,tiánkòng,fill in the blanks; fill a vacancy
4,条件,tiáojiàn,condition; circumstances; prerequisite
4,停,tíng,to stop; to halt; to park (a car)
4,挺,tǐng,straighten up; stick out; rather (good)
4,通过,tōngguò,by means of; through (a method); pass through
4,通知,tōngzhī,notify; to inform; notice
4,同情,tóngqíng,compassion; sympathy
4,同时,tóngshí,at the same time; simultaneously
4,推,tuī,to push; to scrape; to decline
4,推迟,tuīchí,postpone; defer
4,脱,tuō,to shed; take off; to escape
4,袜子,wàzi,socks; stockings
4,完全,wánquán,complete; whole; totally
4,网球,wǎngqiú,tennis; tennis ball
4,网站,wǎngzhàn,website
4,往往,wǎngwǎng,often; frequently; more often than not
4,危险,wēixiǎn,danger; dangerous; perilous
4,卫生间,wèishēngjiān,restroom; bathroom; water closet (WC)
4,味道,wèidao,flavor; taste
4,温度,wēndù,temperature
4,文章,wénzhāng,article; essay
4,污染,wūrǎn,pollution; contamination
4,无,wú,have not; without; not
4,无聊,wúliáo,nonsense; bored; silly
4,无论,wúlùn,no matter what; regardless of whether
4,误会,wùhuì,to misunderstand; to mistake
4,西红柿,xīhóngshì,tomato
4,吸引,xīyǐn,"attract (interest, investment, etc.)"
4,咸,xián,salty; salted; all
4,现金,xiànjīn,cash
4,羡慕,xiànmù,to envy; admire
4,相反,xiāngfǎn,opposite; contrary
4,相同,xiāngtóng,identical; same; alike
4,香,xiāng,fragrant; savory
4,详细,xiángxì,detailed; in detail; minute
4,响,xiǎng,make a sound; to ring; echo
4,橡皮,xiàngpí,rubber; an eraser
4,消息,xiāoxi,news; information
4,小吃,xiǎochī,snack; refreshments
4,小伙子,xiǎohuǒzi,young man; lad; youngster
4,小说,xiǎoshuō,novel; fiction
4,笑话,xiàohua,joke; laugh at
4,效果,xiàoguǒ,effect; result
4,心情,xīnqíng,mood; state of mind
4,辛苦,xīnkǔ,hard; exhausting; toilsome
4,信封,xìnfēng,envelope
4,信息,xìnxī,information; news; message
4,信心,xìnxīn,confidence; faith (in sb. or sth.)
4,兴奋,xīngfèn,excitement； be excited
4,行,xíng,walk; be current; do
4,醒,xǐng,wake up
4,幸福,xìngfú,happy; blessed; fortunate
4,性别,xìngbié,gender; sex; sexual distinction
4,性格,xìnggé,nature; personality; temperament
4,修理,xiūlǐ,to repair; perform maintenance; to overhaul
4,许多,xǔduō,many; a lot; much
4,学期,xuéqī,semester; school term
4,压力,yālì,pressure; stress
4,呀,ya,"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)"
4,牙膏,yágāo,toothpaste
4,亚洲,Yàzhōu,Asia
4,严格,yángé,strict; stringent; tight
4,严重,yánzhòng,grave; serious; critical
4,研究,yánjiū,to study; to research
4,盐,yán,salt
4,眼镜,yǎnjìng,glasses; spectacles
4,演出,yǎnchū,to act (in a play); to perform; to put on a show
4,演员,yǎnyuán,actor or actress; performer
4,阳光,yángguāng,sunshine; sunlight
4,养成,yǎngchéng,cultivate; acquire; to form
4,样子,yàngzi,manner; air; appearance
4,邀请,yāoqǐng,to invite
4,要是,yàoshi,if; suppose; in case
4,钥匙,yàoshi,key
4,也许,yěxǔ,perhaps; probably; maybe
4,叶子,yèzi,leaves
4,页,yè,page; leaf
4,一切,yíqiè,all; every; everything
4,以,yǐ,to use; according to; so as to
4,以为,yǐwéi,think (mistakenly); consider (that); believe
4,艺术,yìshù,art
4,意见,yìjiàn,opinion; view; suggestion
4,因此,yīncǐ,therefore; thus; that is why
4,引起,yǐnqǐ,give rise to; lead to; to cause
4,印象,yìnxiàng,impression
4,赢,yíng,to win; to beat; to profit
4,应聘,yìngpìn,accept a job offer; to apply for a job
4,永远,yǒngyuǎn,forever; eternal; always
4,勇敢,yǒnggǎn,brave; courageous
4,优点,yōudiǎn,merit; good point; a strength
4,优秀,yōuxiù,outstanding; excellent
4,幽默,yōumò,humorous
4,尤其,yóuqí,especially; particularly
4,由,yóu,follow; from; by
4,由于,yóuyú,due to; owing to; as a result of
4,邮局,yóujú,post office
4,友好,yǒuhǎo,friendly (relations); close friends
4,友谊,yǒuyì,friendship; companionship
4,有趣,yǒuqù,interesting; fascinating; amusing
4,于是,yúshì,as a result; thus; therefore
4,愉快,yúkuài,happy; cheerful; delightful
4,与,yǔ,(formal) and; to give; together with
4,羽毛球,yǔmáoqiú,badminton
4,语法,yǔfǎ,grammar
4,语言,yǔyán,language
4,预习,yùxí,(of students) prepare a lesson before class; preview
4,原来,yuánlái,original; former; as it turns out
4,原谅,yuánliàng,to excuse; forgive; to pardon
4,原因,yuányīn,cause; reason
4,约会,yuēhuì,appointment; engagement; date
4,阅读,yuèdú,read; reading
4,云,yún,cloud; Yunnan province; say
4,允许,yǔnxǔ,to permit; allow
4,杂志,zázhì,magazine
4,咱们,zánmen,we (including the listener); us; our
4,暂时,zànshí,temporary; transient; for the moment
4,脏,zāng,filthy; dirty
4,责任,zérèn,responsibility; blame; duty
4,增加,zēngjiā,to increase; to raise; add
4,占线,zhànxiàn,the (phone) line is busy
4,招聘,zhāopìn,recruitment; take job applications for a job
4,照,zhào,to shine; illuminate; according to
4,真正,zhēnzhèng,genuine; real; true
4,整理,zhěnglǐ,put in order; arrange; straighten up
4,正常,zhèngcháng,normal; regular; ordinary
4,正好,zhènghǎo,just (in time); just right; just enough
4,正确,zhèngquè,correct; proper
4,正式,zhèngshì,formal; official
4,证明,zhèngmíng,proof; testify; confirm
4,之,zhī,(literary equivalent to 的); (pronoun); of
4,支持,zhīchí,sustain; hold out; support
4,知识,zhīshi,knowledge; intellectual
4,直接,zhíjiē,direct; immediate
4,值得,zhíde,be worth; deserve
4,职业,zhíyè,profession; occupation
4,植物,zhíwù,plant; botanical; vegetation
4,只好,zhǐhǎo,have to; be forced to
4,只要,zhǐyào,so long as; if only; provided that
4,指,zhǐ,"finger; to point (at, to, out); refer to"
4,至少,zhìshǎo,at least; (to say the) least
4,质量,zhìliàng,quality; mass (physics)
4,重,zhòng,heavy; serious; important
4,重点,zhòngdiǎn,emphasis; main point
4,重视,zhòngshì,to value; take seriously
4,周围,zhōuwéi,surroundings; vicinity; environment
4,主意,zhǔyi,plan; idea; decision
4,祝贺,zhùhè,congratulate
4,著名,zhùmíng,famous; well-known; celebration
4,专门,zhuānmén,specialized
4,专业,zhuānyè,profession; specialized field of study; major
4,转,"zhuǎn, zhuàn",to turn; to change; pass on
4,赚,zhuàn,earn; make a profit
